1,2,3,4,5,6,7,8,9,Average
2.02,2.35,2.62,2.20,2.53,2.74,2.39,2.64,2.86,2.48
2.06,2.34,2.59,2.19,2.47,2.74,2.32,2.63,2.92,2.47
2.29,2.59,2.86,2.41,2.74,3.03,2.56,2.91,3.19,2.73
4.19,4.68,5.10,4.35,4.85,5.30,4.54,5.06,5.54,4.85
7.51,8.36,9.11,7.83,8.73,9.46,8.20,9.11,9.91,8.69
6.42,7.14,7.79,6.72,7.47,8.17,7.06,7.88,8.65,7.48
4.52,5.01,5.47,4.73,5.26,5.72,4.98,5.53,6.02,5.25
3.61,4.01,4.39,3.77,4.20,4.58,3.96,4.41,4.80,4.19
3.16,3.53,3.84,3.32,3.68,4.01,3.47,3.85,4.22,3.68
2.85,3.22,3.52,3.03,3.38,3.67,3.20,3.53,3.85,3.36
2.63,2.98,3.28,2.79,3.16,3.43,2.98,3.30,3.59,3.13
2.73,3.10,3.41,2.90,3.26,3.55,3.08,3.40,3.71,3.24
3.29,3.67,4.01,3.43,3.82,4.18,3.59,4.00,4.37,3.82
3.51,3.90,4.27,3.65,4.07,4.45,3.82,4.26,4.64,4.06
3.45,3.83,4.19,3.59,4.00,4.37,3.76,4.20,4.57,4.00
2.92,3.29,3.58,3.10,3.44,3.73,3.26,3.60,3.92,3.43
2.63,2.98,3.28,2.79,3.16,3.43,2.98,3.30,3.59,3.13
2.41,2.73,3.02,2.56,2.90,3.20,2.72,3.09,3.34,2.88
2.24,2.52,2.79,2.36,2.68,2.97,2.52,2.85,3.14,2.67
2.12,2.40,2.65,2.25,2.54,2.81,2.38,2.70,3.00,2.54
2.06,2.33,2.58,2.18,2.47,2.73,2.31,2.63,2.91,2.47
1.99,2.27,2.51,2.13,2.40,2.66,2.25,2.55,2.83,2.40
1.95,2.23,2.46,2.09,2.35,2.60,2.21,2.50,2.77,2.35
1.91,2.19,2.41,2.05,2.30,2.55,2.16,2.45,2.71,2.30
1.88,2.16,2.39,2.02,2.28,2.53,2.14,2.42,2.69,2.28
1.94,2.22,2.45,2.08,2.34,2.59,2.19,2.49,2.76,2.34
1.93,2.21,2.44,2.07,2.33,2.58,2.19,2.47,2.74,2.33
2.94,3.32,3.63,3.10,3.46,3.78,3.24,3.61,3.94,3.45
3.97,4.43,4.84,4.14,4.61,5.03,4.32,4.81,5.26,4.60
3.52,3.91,4.27,3.67,4.09,4.46,3.85,4.30,4.67,4.08
2.86,3.22,3.52,3.04,3.38,3.67,3.21,3.54,3.85,3.36
2.48,2.81,3.10,2.63,2.98,3.27,2.81,3.16,3.42,2.96
2.29,2.58,2.86,2.42,2.74,3.03,2.58,2.92,3.20,2.74
2.15,2.43,2.68,2.27,2.57,2.85,2.41,2.74,3.03,2.57
2.03,2.31,2.55,2.16,2.44,2.70,2.29,2.60,2.88,2.44
1.94,2.22,2.45,2.08,2.34,2.59,2.20,2.49,2.76,2.34
1.87,2.14,2.37,2.01,2.27,2.51,2.13,2.41,2.67,2.26
1.91,2.20,2.42,2.05,2.31,2.56,2.17,2.46,2.72,2.31
1.97,2.26,2.49,2.11,2.38,2.64,2.23,2.53,2.81,2.38
1.97,2.25,2.48,2.11,2.38,2.63,2.23,2.53,2.80,2.37
1.90,2.18,2.40,2.04,2.30,2.54,2.16,2.44,2.70,2.29
1.84,2.12,2.35,1.98,2.24,2.48,2.11,2.38,2.64,2.24
1.77,2.04,2.27,1.91,2.17,2.40,2.04,2.30,2.55,2.16
1.70,1.97,2.20,1.84,2.11,2.32,1.98,2.23,2.47,2.09
1.68,1.95,2.19,1.82,2.09,2.30,1.96,2.21,2.45,2.07
2.30,2.60,2.88,2.42,2.74,3.04,2.56,2.91,3.20,2.74
3.21,3.59,3.92,3.36,3.74,4.09,3.51,3.90,4.27,3.73
2.77,3.13,3.44,2.95,3.30,3.58,3.13,3.45,3.75,3.28
2.38,2.69,2.97,2.52,2.85,3.16,2.69,3.05,3.30,2.84
2.28,2.57,2.85,2.41,2.73,3.02,2.56,2.91,3.19,2.72
2.26,2.55,2.82,2.38,2.70,2.99,2.53,2.88,3.16,2.70
2.11,2.39,2.63,2.23,2.53,2.80,2.37,2.69,2.98,2.53
1.97,2.24,2.47,2.10,2.37,2.62,2.22,2.52,2.79,2.37
2.00,2.29,2.53,2.14,2.41,2.67,2.26,2.57,2.85,2.41
1.94,2.22,2.45,2.08,2.34,2.59,2.20,2.49,2.76,2.34
4.16,4.64,5.07,4.32,4.82,5.27,4.51,5.02,5.50,4.81
8.03,8.91,9.64,8.36,9.27,10.04,8.76,9.72,10.53,9.25
6.68,7.42,8.10,6.99,7.79,8.52,7.36,8.23,8.99,7.79
4.61,5.11,5.58,4.83,5.37,5.84,5.09,5.65,6.15,5.36
3.61,4.01,4.38,3.77,4.20,4.58,3.97,4.41,4.80,4.19
3.09,3.46,3.76,3.26,3.60,3.93,3.41,3.78,4.13,3.60
2.71,3.06,3.37,2.88,3.24,3.51,3.07,3.38,3.67,3.21
2.48,2.81,3.11,2.63,2.99,3.28,2.81,3.16,3.42,2.96
2.40,2.71,3.01,2.54,2.88,3.19,2.71,3.07,3.32,2.87
2.41,2.73,3.02,2.55,2.89,3.20,2.71,3.08,3.33,2.88
2.32,2.62,2.90,2.46,2.78,3.08,2.62,2.97,3.24,2.78
2.21,2.49,2.75,2.33,2.64,2.92,2.48,2.81,3.11,2.64
2.09,2.37,2.61,2.22,2.50,2.77,2.35,2.67,2.95,2.50
1.97,2.25,2.49,2.11,2.38,2.63,2.23,2.53,2.81,2.38
1.90,2.18,2.40,2.04,2.30,2.54,2.16,2.44,2.71,2.30
1.85,2.12,2.35,1.99,2.25,2.49,2.11,2.39,2.65,2.24
1.78,2.06,2.29,1.92,2.19,2.42,2.06,2.32,2.57,2.18
1.76,2.04,2.27,1.90,2.17,2.39,2.04,2.30,2.55,2.16
1.74,2.02,2.25,1.88,2.15,2.37,2.02,2.28,2.52,2.14
1.75,2.02,2.25,1.89,2.16,2.38,2.02,2.28,2.53,2.14
1.81,2.09,2.32,1.95,2.22,2.45,2.08,2.35,2.61,2.21
1.66,1.94,2.16,1.81,2.08,2.28,1.95,2.20,2.43,2.06
1.56,1.82,2.05,1.70,1.96,2.18,1.84,2.09,2.31,1.95
1.52,1.77,2.00,1.64,1.91,2.13,1.79,2.05,2.26,1.90
1.60,1.87,2.10,1.73,2.01,2.22,1.88,2.13,2.36,1.99
2.13,2.42,2.68,2.25,2.55,2.83,2.38,2.71,3.00,2.55
2.42,2.73,3.03,2.55,2.90,3.20,2.71,3.08,3.34,2.88
2.15,2.42,2.68,2.28,2.57,2.85,2.42,2.74,3.04,2.57
1.95,2.23,2.46,2.09,2.36,2.61,2.21,2.51,2.78,2.35
1.89,2.17,2.39,2.03,2.29,2.53,2.15,2.43,2.69,2.28
1.96,2.25,2.48,2.10,2.37,2.62,2.22,2.52,2.79,2.37
2.10,2.39,2.64,2.23,2.52,2.79,2.36,2.68,2.97,2.52
1.98,2.26,2.49,2.11,2.38,2.64,2.24,2.54,2.81,2.38
2.12,2.40,2.66,2.24,2.54,2.81,2.37,2.70,2.99,2.54
1.92,2.19,2.41,2.06,2.31,2.56,2.18,2.46,2.73,2.31
2.66,3.02,3.33,2.81,3.18,3.46,2.97,3.31,3.62,3.15
2.64,2.99,3.30,2.80,3.17,3.44,2.98,3.31,3.60,3.14
2.12,2.39,2.64,2.25,2.54,2.81,2.40,2.72,3.01,2.54
1.79,2.06,2.29,1.93,2.19,2.42,2.07,2.33,2.58,2.18
1.61,1.89,2.11,1.76,2.03,2.23,1.90,2.15,2.37,2.00
1.56,1.83,2.05,1.70,1.97,2.18,1.84,2.09,2.31,1.95
1.93,2.23,2.46,2.08,2.35,2.60,2.19,2.48,2.76,2.34
2.56,2.90,3.21,2.70,3.07,3.36,2.87,3.22,3.51,3.04
2.33,2.63,2.91,2.47,2.79,3.09,2.63,2.98,3.25,2.79
1.97,2.24,2.47,2.11,2.37,2.63,2.23,2.53,2.80,2.37
