1,2,3,4,5,6,7,8,9,Average
45.11,45.22,45.32,45.22,45.35,45.46,45.32,45.46,45.59,45.34
45.11,45.22,45.32,45.21,45.33,45.44,45.30,45.44,45.56,45.33
44.85,44.86,45.24,45.09,45.30,45.42,45.32,45.44,45.56,45.23
45.84,44.84,45.28,45.28,45.30,45.41,45.25,45.41,45.55,45.35
44.83,44.90,45.30,45.06,45.32,45.45,45.29,45.44,45.59,45.24
45.67,44.81,45.28,45.40,45.32,45.44,45.30,45.45,45.60,45.36
44.82,45.68,45.24,44.93,45.28,45.41,45.27,45.42,45.56,45.29
45.59,45.21,45.22,45.40,45.25,45.37,45.23,45.38,45.52,45.35
44.82,44.83,45.19,44.86,45.23,45.35,45.21,45.36,45.49,45.15
45.55,45.02,46.34,45.48,45.34,45.57,45.21,45.36,45.51,45.49
49.64,50.27,50.74,49.67,50.26,50.75,49.51,50.09,50.56,50.17
51.34,52.14,52.81,51.79,52.56,53.27,52.07,52.85,53.56,52.49
52.65,53.62,54.50,53.28,54.33,55.27,53.78,54.88,55.89,54.24
53.40,54.53,55.46,54.28,55.45,56.46,55.00,56.22,57.22,55.33
51.35,52.81,53.78,53.23,54.45,55.43,54.47,55.62,56.63,54.20
47.60,48.13,48.90,48.59,49.52,50.48,50.20,51.50,52.61,49.72
51.49,52.00,52.77,51.35,51.96,52.52,51.13,51.76,52.37,51.93
60.71,62.29,63.29,60.58,62.15,63.69,60.60,62.29,63.93,62.17
63.53,64.81,65.78,64.07,65.33,66.35,64.52,65.75,66.72,65.21
61.64,62.72,63.59,62.49,63.48,64.31,63.04,63.98,64.78,63.34
59.15,60.40,61.36,60.34,61.36,62.23,61.02,61.97,62.78,61.18
57.36,58.76,59.84,58.73,59.95,60.85,59.64,60.68,61.46,59.70
55.58,56.85,57.90,56.99,58.22,59.26,58.03,59.21,60.12,58.02
51.49,53.12,54.16,53.91,55.16,56.19,55.43,56.62,57.58,54.85
